"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
,00129,충북,청주,흥덕,신전,남이JCT ~ 청주IC,300.5~305.1,4.6 ,6,수*,"78,549 ","78,210 ","80,840 ","86,003 ","93,243 ","56,918 ","2,464 ","9,135 ","4,710 ","9,577 ","2,388 ","3,408 ",9 ,23 ,"2,916 ",262 ,"1,433 "
,00130,충북,청주,옥산,덕촌,청주IC ~ 옥산하이패스IC,305.1~308.7,3.6 ,6,수*,"87,197 ","96,005 ","98,338 ","98,066 ","90,034 ","55,090 ","2,384 ","8,925 ","4,555 ","9,081 ","2,315 ","3,245 ",8 ,22 ,"2,786 ",249 ,"1,374 "
,00130-1,충북,천안,수신,장산,옥산하이패스IC ~ 옥산JCT,308.7~316,7.3 ,6,수*,"90,453 ","91,504 ","88,614 ","95,863 ","91,613 ","56,009 ","2,424 ","9,008 ","4,625 ","9,328 ","2,354 ","3,332 ",9 ,23 ,"2,842 ",259 ,"1,400 "
,옥산 - 천안,,,,,,,17.4 ,,12,"63,451 ","72,368 ","67,234 ","73,207 ","74,400 ","49,578 ","2,266 ","7,793 ","2,990 ","5,173 ","1,544 ","2,381 ",1 ,4 ,"1,696 ",177 ,797 
,,,,,,,,,,24,"84,840 ","97,221 ","90,529 ","95,043 ","103,005 ","65,085 ","2,986 ","9,912 ","4,403 ","9,365 ","2,597 ","4,023 ",4 ,5 ,"2,805 ",348 ,"1,472 "
,00130-2,충북,청주,옥산,수락,옥산JCT ~ 목천IC,316~329.9,13.9 ,6,수*,"84,964 ","99,086 ","91,849 ","94,712 ","102,348 ","64,670 ","2,966 ","9,849 ","4,372 ","9,307 ","2,582 ","3,996 ",4 ,5 ,"2,786 ",346 ,"1,465 "
,00131,충남,천안,성남,용원,목천IC ~ 천안JCT,329.9~333.4,3.5 ,6,수*,"84,345 ","89,929 ","85,361 ","96,336 ","105,612 ","66,733 ","3,063 ","10,162 ","4,528 ","9,597 ","2,655 ","4,128 ",4 ,5 ,"2,879 ",356 ,"1,502 "
,천안 - 안성,,,,,,,31.5 ,,12,"114,910 ","119,340 ","116,851 ","121,750 ","123,974 ","91,596 ","4,652 ","11,478 ","4,373 ","6,188 ","1,552 ","2,391 ",-   ,7 ,956 ,154 ,627 
,,,,,,,,,,24,"164,736 ","167,746 ","166,165 ","171,782 ","176,430 ","128,536 ","6,431 ","15,848 ","6,575 ","10,073 ","2,383 ","3,735 ",2 ,12 ,"1,624 ",256 ,955 
,00131-1,충남,천안,목천,응원,천안JCT ~ 천안IC,333.4~340.1,6.7 ,8*,수*,"151,843 ","151,992 ","148,557 ","153,028 ","161,308 ","117,668 ","5,892 ","14,482 ","5,972 ","9,103 ","2,187 ","3,418 ",2 ,11 ,"1,469 ",233 ,871 
,00132,충남,천안,,안서,천안IC ~ 북천안IC,340.1~348.4,8.3 ,8*,상*,"171,997 ","176,166 ","180,070 ","181,400 ","181,263 ","131,729 ","6,591 ","16,198 ","6,790 ","10,524 ","2,496 ","3,933 ",2 ,13 ,"1,713 ",266 ,"1,008 "
,00132-2,충남,천안,입장,용정,북천안IC ~ 안성IC,348.4~360.1,11.7 ,8*,수*,"168,208 ","164,293 ","157,440 ","168,425 ","174,264 ","127,019 ","6,352 ","15,742 ","6,523 ","9,917 ","2,319 ","3,616 ",2 ,12 ,"1,590 ",249 ,923 
,00132-1,경기,안성,공도,용두,안성IC ~ 안성JCT,360.1~364.9,4.8 ,8*,상*,"161,796 ","183,838 ","188,440 ","189,783 ","194,458 ","141,882 ","7,098 ","17,408 ","7,172 ","11,028 ","2,615 ","4,123 ",2 ,14 ,"1,772 ",286 ,"1,058 "
경부선,안성 - 동탄,,,,,,,17.2 ,,12,"114,845 ","117,015 ","113,254 ","120,356 ","126,823 ","95,760 ","5,933 ","13,112 ","3,605 ","3,753 ","2,615 ","1,085 ",27 ,12 ,729 ,47 ,145 
,,,,,,,,,,24,"170,389 ","173,184 ","167,382 ","178,242 ","188,234 ","141,172 ","8,653 ","18,962 ","5,645 ","5,982 ","4,441 ","1,852 ",49 ,26 ,"1,162 ",75 ,215 
,00133,경기,안성,원곡,산하,안성JCT ~ 남사진위IC,364.9~372.9,8.0 ,8*,상*,"164,381 ","174,800 ","166,623 ","176,403 ","182,381 ","136,858 ","8,397 ","18,382 ","5,448 ","5,763 ","4,271 ","1,786 ",47 ,24 ,"1,122 ",73 ,210 
,00133-1,경기,평택,진위,동천,남사진위IC ~ 오산IC,372.9~378.2,5.3 ,8*,수*,-     ,-     ,-     ,-     ,"190,808 ","143,109 ","8,763 ","19,184 ","5,728 ","6,083 ","4,515 ","1,876 ",50 ,27 ,"1,179 ",77 ,217 
,00134,경기,오산,,원,오산IC ~ 동탄JCT,378.2~382.1,3.9 ,8*,상,"190,876 ","167,672 ","169,972 ","184,513 ","196,744 ","147,391 ","9,029 ","19,850 ","5,938 ","6,292 ","4,690 ","1,954 ",51 ,28 ,"1,220 ",77 ,224 
,동탄 - 신갈,,,,,,,12.9 ,,12,"128,024 ","125,837 ","124,058 ","125,569 ","137,088 ","104,156 ","8,906 ","13,187 ","3,832 ","3,467 ","2,090 ",800 ,15 ,5 ,492 ,39 ,99 
,,,,,,,,,,24,"192,955 ","192,980 ","188,310 ","192,268 ","210,520 ","158,661 ","13,368 ","19,942 ","6,496 ","5,939 ","3,556 ","1,455 ",30 ,13 ,840 ,66 ,154 
,00134-1,경기,화성,동탄,방교,동탄JCT ~ 기흥IC,382.1~387.2,5.1 ,8*,수*,"161,236 ","170,884 ","159,599 ","180,870 ","195,088 ","147,011 ","12,393 ","18,558 ","6,006 ","5,480 ","3,284 ","1,338 ",26 ,12 ,776 ,62 ,142 
,00135,경기,용인,기흥,고매,기흥IC ~ 수원신갈IC,387.2~392.3,5.1 ,8*,상*,"220,848 ","210,017 ","211,996 ","192,040 ","210,408 ","158,673 ","13,407 ","19,888 ","6,445 ","5,902 ","3,547 ","1,454 ",29 ,13 ,831 ,65 ,154 
,00136,경기,용인,기흥,보라,수원신갈IC ~ 신갈JCT,392.3~395,2.7 ,10,상,"200,189 ","202,530 ","197,800 ","214,222 ","239,885 ","180,643 ","15,137 ","22,657 ","7,520 ","6,878 ","4,085 ","1,679 ",38 ,17 ,979 ,74 ,178 
경부선,신갈 - 판교,,,,,,,13.0 ,,12,"128,630 ","130,916 ","130,998 ","136,382 ","132,443 ","102,566 ","11,510 ","11,688 ","2,750 ","2,025 ","1,428 ",286 ,4 ,-   ,126 ,22 ,38 
,,,,,,,,,,24,"204,008 ","205,277 ","201,226 ","211,117 ","206,314 ","156,509 ","16,571 ","18,270 ","6,376 ","4,997 ","2,233 ",837 ,11 ,-   ,398 ,44 ,68 
,00137,경기,용인,기흥,상갈,신갈JCT ~ 판교JCT,395~408,13.0 ,8*,수*,"204,008 ","205,277 ","201,226 ","211,117 ","206,314 ","156,509 ","16,571 ","18,270 ","6,376 ","4,997 ","2,233 ",837 ,11 ,-   ,398 ,44 ,68 
,판교 - 금토,,,,,,,1.3 ,,12,"101,304 ","96,715 ","93,503 ","86,462 ","90,802 ","71,717 ","11,045 ","5,849 ","1,219 ",460 ,351 ,81 ,28 ,2 ,30 ,5 ,15 
,,,,,,,,,,24,"166,060 ","159,446 ","151,910 ","148,788 ","158,589 ","124,467 ","16,383 ","10,676 ","3,213 ","2,095 ","1,024 ",355 ,53 ,3 ,276 ,13 ,31 
,00137-1,경기,성남,분당,삼평,판교JCT ~ 금토JCT,408~409.3,1.3 ,10,수*,"166,060 ","159,446 ","151,910 ","148,788 ","158,589 ","124,467 ","16,383 ","10,676 ","3,213 ","2,095 ","1,024 ",355 ,53 ,3 ,276 ,13 ,31 
,금토 - 양재,,,,,,,6.8 ,,12,"110,448 ","114,412 ","110,282 ","116,871 ","123,601 ","100,846 ","12,314 ","7,552 ","1,621 ",600 ,478 ,100 ,31 ,2 ,34 ,5 ,18 
,,,,,,,,,,24,"183,011 ","191,996 ","181,871 ","192,159 ","206,014 ","167,525 ","17,740 ","12,790 ","3,704 ","2,261 ","1,205 ",431 ,53 ,3 ,258 ,12 ,32 
,00139,경기,성남,수정,금토,금토JCT ~ 양재IC,409.3~416.1,6.8 ,10,수*,"183,011 ","191,996 ","181,871 ","192,159 ","206,014 ","167,525 ","17,740 ","12,790 ","3,704 ","2,261 ","1,205 ",431 ,53 ,3 ,258 ,12 ,32 
남해선,서영암 - 도롱,,,,,,,106.8 ,,12,"11,236 ","11,698 ","11,226 ","11,955 ","12,707 ","9,066 ",178 ,"1,470 ",443 ,430 ,444 ,175 ,88 ,-   ,329 ,5 ,79 
,,,,,,,,,,24,"13,876 ","14,382 ","13,763 ","14,798 ","15,759 ","11,112 ",208 ,"1,804 ",546 ,604 ,527 ,294 ,92 ,-   ,467 ,5 ,100 
,01001-1,전남,영암,학산,신덕,서영암IC ~ 서호학산IC,0~5.3,5.3 ,4,수*,"12,135 ","13,010 ","12,838 ","13,485 ","12,032 ","8,477 ",162 ,"1,390 ",412 ,461 ,409 ,223 ,74 ,-   ,348 ,4 ,72 
,01001-2,전남,영암,학산,금계,서호학산IC ~ 강진무위사IC,5.3~19.5,14.2 ,4,수*,"10,937 ","10,506 ","10,316 ","11,634 ","12,244 ","8,619 ",163 ,"1,408 ",424 ,471 ,418 ,229 ,74 ,-   ,360 ,4 ,74 
,01001-3,전남,강진,작천,토마,강진무위사IC ~ 장흥IC,19.5~38.3,18.8 ,4,수*,"9,139 ","8,864 ","8,627 ","9,764 ","10,171 ","7,165 ",136 ,"1,167 ",356 ,389 ,344 ,187 ,62 ,-   ,297 ,3 ,65 
